dataset,split,epoch,loss,accuracy,accuracy_percent,plotted_as_test_marker
Raw Pressure,Val,44,1.864317421,0.4666666667,46.66666667,False
Raw Pressure,Val,45,1.765075948,0.4692640693,46.92640693,False
Raw Pressure,Val,46,2.05745337,0.412987013,41.2987013,False
Raw Pressure,Val,47,1.870246973,0.4354978355,43.54978355,False
Raw Pressure,Val,48,1.821491562,0.4467532468,44.67532468,False
Raw Pressure,Val,49,2.264145783,0.3645021645,36.45021645,False
Raw Pressure,Val,50,1.759955864,0.4857142857,48.57142857,False
Raw Pressure,Val,51,1.542687196,0.5281385281,52.81385281,False
Raw Pressure,Val,52,1.538252397,0.5584415584,55.84415584,False
Raw Pressure,Val,53,1.620972314,0.5229437229,52.29437229,False
Raw Pressure,Val,54,1.497266999,0.5575757576,55.75757576,False
Raw Pressure,Val,55,2.126647262,0.3922077922,39.22077922,False
Raw Pressure,Val,56,1.566319057,0.5376623377,53.76623377,False
Raw Pressure,Val,57,1.692460916,0.4917748918,49.17748918,False
Raw Pressure,Val,58,1.503044888,0.5497835498,54.97835498,False
Raw Pressure,Val,59,1.619982329,0.5246753247,52.46753247,False
Raw Pressure,Val,60,1.558430355,0.5445887446,54.45887446,False
Raw Pressure,Val,61,1.662718775,0.516017316,51.6017316,False
Raw Pressure,Val,62,1.487542275,0.5731601732,57.31601732,False
Raw Pressure,Val,63,1.960476064,0.4233766234,42.33766234,False
Raw Pressure,Val,64,1.771227023,0.4822510823,48.22510823,False
Raw Pressure,Val,65,1.590056395,0.5281385281,52.81385281,False
Raw Pressure,Val,66,1.664540741,0.5047619048,50.47619048,False
Raw Pressure,Val,67,1.549644781,0.5393939394,53.93939394,False
Raw Pressure,Val,68,1.539646429,0.5454545455,54.54545455,False
Raw Pressure,Val,69,1.485641361,0.5662337662,56.62337662,False
Raw Pressure,Val,70,1.615714413,0.5073593074,50.73593074,False
Raw Pressure,Val,71,1.473194416,0.5731601732,57.31601732,False
Raw Pressure,Val,72,1.926193647,0.4484848485,44.84848485,False
Raw Pressure,Val,73,1.535189648,0.5316017316,53.16017316,False
Raw Pressure,Val,74,1.537024296,0.5489177489,54.89177489,False
Raw Pressure,Val,75,1.52812035,0.554978355,55.4978355,False
Raw Pressure,Val,76,1.592562272,0.5298701299,52.98701299,False
Raw Pressure,Val,77,1.450835468,0.5670995671,56.70995671,False
Raw Pressure,Val,78,1.434699781,0.5593073593,55.93073593,False
Raw Pressure,Val,79,1.416872865,0.5480519481,54.80519481,False
Raw Pressure,Val,80,1.385517599,0.5878787879,58.78787879,False
Raw Pressure,Val,81,1.431362136,0.5913419913,59.13419913,False
Raw Pressure,Val,82,1.378557689,0.5991341991,59.91341991,False
Raw Pressure,Val,83,1.455491579,0.5670995671,56.70995671,False
Raw Pressure,Val,84,1.378905404,0.5922077922,59.22077922,False
Raw Pressure,Val,85,1.347535342,0.619047619,61.9047619,False
Raw Pressure,Val,86,1.359258003,0.6060606061,60.60606061,False
Raw Pressure,Val,87,1.339659852,0.6233766234,62.33766234,False
Raw Pressure,Val,88,1.377121593,0.6008658009,60.08658009,False
Raw Pressure,Val,89,1.333542702,0.6225108225,62.25108225,False
Raw Pressure,Val,90,1.350959124,0.6251082251,62.51082251,False
Raw Pressure,Val,91,1.343580158,0.6251082251,62.51082251,False
Raw Pressure,Val,92,1.337374442,0.6294372294,62.94372294,False
Raw Pressure,Val,93,1.357176572,0.6060606061,60.60606061,False
Raw Pressure,Val,94,1.375356805,0.6199134199,61.99134199,False
Raw Pressure,Val,95,1.356910554,0.6268398268,62.68398268,False
