true_class,predicted_class,count,true_class_total,row_proportion,row_percentage
W,J,0,33,0,0
W,K,0,33,0,0
W,L,0,33,0,0
W,M,0,33,0,0
W,N,2,33,0.06060606061,6.060606061
W,O,0,33,0,0
W,P,1,33,0.0303030303,3.03030303
W,Q,0,33,0,0
W,R,0,33,0,0
W,S,0,33,0,0
W,T,0,33,0,0
W,U,1,33,0.0303030303,3.03030303
W,V,0,33,0,0
W,W,26,33,0.7878787879,78.78787879
W,X,0,33,0,0
W,Y,0,33,0,0
W,Z,0,33,0,0
W,1,0,33,0,0
W,2,0,33,0,0
W,3,0,33,0,0
W,4,0,33,0,0
W,5,0,33,0,0
W,6,0,33,0,0
W,7,0,33,0,0
W,8,0,33,0,0
W,9,0,33,0,0
X,A,0,33,0,0
X,B,0,33,0,0
X,C,0,33,0,0
X,D,0,33,0,0
X,E,1,33,0.0303030303,3.03030303
X,F,0,33,0,0
X,G,0,33,0,0
X,H,0,33,0,0
X,I,0,33,0,0
X,J,0,33,0,0
X,K,1,33,0.0303030303,3.03030303
X,L,0,33,0,0
X,M,0,33,0,0
X,N,1,33,0.0303030303,3.03030303
X,O,0,33,0,0
X,P,0,33,0,0
X,Q,0,33,0,0
X,R,1,33,0.0303030303,3.03030303
X,S,0,33,0,0
X,T,0,33,0,0
X,U,0,33,0,0
X,V,0,33,0,0
X,W,0,33,0,0
X,X,27,33,0.8181818182,81.81818182
X,Y,1,33,0.0303030303,3.03030303
X,Z,0,33,0,0
X,1,0,33,0,0
X,2,0,33,0,0
X,3,1,33,0.0303030303,3.03030303
X,4,0,33,0,0
X,5,0,33,0,0
X,6,0,33,0,0
X,7,0,33,0,0
X,8,0,33,0,0
X,9,0,33,0,0
Y,A,0,33,0,0
Y,B,0,33,0,0
Y,C,0,33,0,0
Y,D,0,33,0,0
Y,E,0,33,0,0
Y,F,1,33,0.0303030303,3.03030303
Y,G,0,33,0,0
Y,H,0,33,0,0
Y,I,0,33,0,0
Y,J,0,33,0,0
Y,K,0,33,0,0
Y,L,0,33,0,0
Y,M,0,33,0,0
Y,N,0,33,0,0
Y,O,0,33,0,0
Y,P,0,33,0,0
Y,Q,0,33,0,0
Y,R,0,33,0,0
Y,S,0,33,0,0
Y,T,2,33,0.06060606061,6.060606061
Y,U,0,33,0,0
Y,V,3,33,0.09090909091,9.090909091
Y,W,0,33,0,0
Y,X,0,33,0,0
Y,Y,23,33,0.696969697,69.6969697
Y,Z,0,33,0,0
Y,1,0,33,0,0
Y,2,0,33,0,0
Y,3,0,33,0,0
Y,4,0,33,0,0
Y,5,1,33,0.0303030303,3.03030303
Y,6,0,33,0,0
Y,7,1,33,0.0303030303,3.03030303
Y,8,1,33,0.0303030303,3.03030303
Y,9,1,33,0.0303030303,3.03030303
Z,A,0,33,0,0
Z,B,0,33,0,0
Z,C,0,33,0,0
Z,D,0,33,0,0
Z,E,1,33,0.0303030303,3.03030303
Z,F,0,33,0,0
Z,G,0,33,0,0
Z,H,0,33,0,0
Z,I,1,33,0.0303030303,3.03030303
Z,J,0,33,0,0
Z,K,0,33,0,0
Z,L,0,33,0,0
Z,M,0,33,0,0
Z,N,0,33,0,0
Z,O,0,33,0,0
Z,P,0,33,0,0
Z,Q,0,33,0,0
Z,R,0,33,0,0
Z,S,0,33,0,0
Z,T,0,33,0,0
Z,U,0,33,0,0
Z,V,0,33,0,0
Z,W,0,33,0,0
Z,X,1,33,0.0303030303,3.03030303
Z,Y,0,33,0,0
Z,Z,22,33,0.6666666667,66.66666667
Z,1,0,33,0,0
Z,2,5,33,0.1515151515,15.15151515
Z,3,0,33,0,0
Z,4,0,33,0,0
Z,5,1,33,0.0303030303,3.03030303
Z,6,0,33,0,0
Z,7,0,33,0,0
Z,8,0,33,0,0
Z,9,2,33,0.06060606061,6.060606061
1,A,1,33,0.0303030303,3.03030303
1,B,0,33,0,0
1,C,0,33,0,0
1,D,0,33,0,0
1,E,0,33,0,0
1,F,0,33,0,0
1,G,0,33,0,0
1,H,0,33,0,0
1,I,2,33,0.06060606061,6.060606061
1,J,0,33,0,0
1,K,0,33,0,0
1,L,1,33,0.0303030303,3.03030303
1,M,0,33,0,0
1,N,0,33,0,0
1,O,0,33,0,0
1,P,3,33,0.09090909091,9.090909091
1,Q,0,33,0,0
1,R,0,33,0,0
1,S,1,33,0.0303030303,3.03030303
1,T,1,33,0.0303030303,3.03030303
1,U,0,33,0,0
1,V,0,33,0,0
1,W,0,33,0,0
1,X,0,33,0,0
1,Y,1,33,0.0303030303,3.03030303
1,Z,0,33,0,0
1,1,22,33,0.6666666667,66.66666667
1,2,1,33,0.0303030303,3.03030303
1,3,0,33,0,0
1,4,0,33,0,0
1,5,0,33,0,0
1,6,0,33,0,0
1,7,0,33,0,0
1,8,0,33,0,0
1,9,0,33,0,0
2,A,0,33,0,0
2,B,0,33,0,0
2,C,0,33,0,0
2,D,0,33,0,0
2,E,0,33,0,0
2,F,0,33,0,0
2,G,0,33,0,0
2,H,0,33,0,0
2,I,0,33,0,0
2,J,0,33,0,0
2,K,0,33,0,0
2,L,1,33,0.0303030303,3.03030303
2,M,0,33,0,0
2,N,0,33,0,0
2,O,0,33,0,0
2,P,0,33,0,0
2,Q,1,33,0.0303030303,3.03030303
2,R,0,33,0,0
2,S,0,33,0,0
2,T,0,33,0,0
2,U,0,33,0,0
2,V,0,33,0,0
2,W,0,33,0,0
2,X,2,33,0.06060606061,6.060606061
2,Y,0,33,0,0
2,Z,4,33,0.1212121212,12.12121212
2,1,0,33,0,0
2,2,22,33,0.6666666667,66.66666667
2,3,1,33,0.0303030303,3.03030303
2,4,1,33,0.0303030303,3.03030303
